CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
Dominican College of Blauvelt,1,Blauvelt,NY,10913,41.05,-73.95
Northern Baptist Theological Seminary,1,Lisle,IL,60532,41.85,-87.96
North Carolina State University at Raleigh,1,Raleigh,NC,27607,35.79,-78.66
University of Wisconsin - Green Bay at Manitowoc,1,Manitowoc,WI,54220,44.07,-87.66
Kansas City Art Institute,1,Kansas City,MO,64111,39.05,-94.58
SUNY College at Oswego,1,Oswego,NY,13126,43.45,-76.54
Lake Tahoe Community College,1,South Lake Tahoe,CA,96150,38.93,-119.97
University of South Florida-Main Campus,6,Tampa,FL,33620,28.07,-82.41
The University of Texas at Tyler,1,Tyler,TX,75799,32.32,-95.25
Connecticut College,1,New London,CT,6320,41.38,-72.1
Hagerstown Community College,1,Hagerstown,MD,21742,39.63,-77.67
University of New Haven- Orange,1,Orange,CT,6477,41.27,-73.06
Cornish College of the Arts,1,Seattle,WA,98121,47.62,-122.34
University of North Dakota,2,Grand Forks,ND,58202,47.92,-97.07
Bethany College,1,Bethany,WV,26032,40.21,-80.56
Colorado Mountain College- Summit Breckenridge,1,Breckenridge,CO,80424,39.51,-106.05
University of Nebraska at Kearney,2,Kearney,NE,68849,40.7,-99.09
Dordt College,1,Sioux Center,IA,51250,43.08,-96.16
Western Carolina University - Cullowhee (Main),1,Cullowhee,NC,28723,35.31,-83.19
Capital Community College,2,Hartford,CT,6103,41.77,-72.67
Purdue University - Northwest Campus,2,Westville,IN,46391,41.59,-86.9
Lewis-Clark State College,1,Lewiston,ID,83501,46.41,-117.03
Pacific University- Hillsboro,1,Hillsboro,OR,97123,45.52,-122.98
Connors State College- Three Rivers Port,1,Muskogee,OK,74403,35.77,-95.31
Murray State College - Tishomingo (Main),1,Tishomingo,OK,73460,34.22,-96.68
Haverford College,1,Haverford,PA,19041,40.01,-75.3
University of Mary,1,Bismarck,ND,58504,46.72,-100.75
Massachusetts Institute of Technology,8,Cambridge,MA,2139,42.36,-71.09
"Palmer College of Chiropractic- Davenport, IA (Main)",1,Davenport,IA,52803,41.53,-90.57
Franklin College,1,Franklin,IN,46131,39.48,-86.05
Murray State University- Hopkinsville,1,Hopkinsville,KY,42240,36.81,-87.47
Golden Gate University-San Francisco,2,San Francisco,CA,94105,37.79,-122.4
