web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575149074-5215","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ANIMAL PRINT DRESS","https://www.zara.com/us/en/animal-print-dress-p08144618.html","ANIMAL PRINT DRESS Details","39.90 USD","Leopard"
"1575148801-5083","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PLEATED DRESS","https://www.zara.com/us/en/pleated-dress-p01131901.html","PLEATED DRESS Details","39.90 USD","Oranges"
"1575149721-5460","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RIBBED DRESS WITH CABLE KNIT DETAIL","https://www.zara.com/us/en/ribbed-dress-with-cable-knit-detail-p06873125.html","RIBBED DRESS WITH CABLE KNIT DETAIL Details","49.90 USD","Ecru"
"1575152755-5578","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ASYMMETRICAL SATIN EFFECT DRESS","https://www.zara.com/us/en/asymmetrical-satin-effect-dress-p01165236.html","ASYMMETRICAL SATIN EFFECT DRESS Details","89.90 USD","Dark blue"
"1575148546-4963","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","STRAPPY DENIM DRESS","https://www.zara.com/us/en/strappy-denim-dress-p06164152.html","STRAPPY DENIM DRESS Details","49.90 USD","White"
"1575154150-5716","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINTED DRESS WITH DRAPING","https://www.zara.com/us/en/printed-dress-with-draping-p02018189.html","PRINTED DRESS WITH DRAPING Details","49.90 USD","032"
"1575149202-5276","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","LONG BELTED JUMPSUIT","https://www.zara.com/us/en/long-belted-jumpsuit-p08236613.html","LONG BELTED JUMPSUIT Details","89.90 USD","Bottle green"
"1575148687-5029","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PINAFORE DRESS WITH POCKETS","https://www.zara.com/us/en/pinafore-dress-with-pockets-p07909823.html","PINAFORE DRESS WITH POCKETS Details","39.90 USD","Light khaki"
"1575152285-5548","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","OVERSIZED PLAID OVERSHIRT","https://www.zara.com/us/en/oversized-plaid-overshirt-p07862111.html","OVERSIZED PLAID OVERSHIRT Details","89.90 USD","Black / Ecru"
"1575149567-5451","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED DRESS","https://www.zara.com/us/en/ruffled-dress-p00085860.html","RUFFLED DRESS Details","39.90 USD","Blue"
"1575148558-4969","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUFFLED DRESS","https://www.zara.com/us/en/ruffled-dress-p07665829.html","RUFFLED DRESS Details","39.90 USD","Red"
"1575148640-5007","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED DRESS WITH FRINGE","https://www.zara.com/us/en/embroidered-dress-with-fringe-p05598030.html","EMBROIDERED DRESS WITH FRINGE Details","49.90 USD","Maroon"
