web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575162943-6589","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","METALLIC T-SHIRT","https://www.zara.com/us/en/metallic-t-shirt-p05350314.html","METALLIC T-SHIRT Details","29.90 USD","Black"
"1575162885-6562","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXT T-SHIRT","https://www.zara.com/us/en/text-t-shirt-p07505306.html","TEXT T-SHIRT Details","25.90 USD","Chalk pink"
"1575162958-6595","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","T SHRT 03 FULL METAL JACKET™","https://www.zara.com/us/en/t-shrt-03-full-metal-jacket%E2%84%A2-p03696304.html","T SHRT 03 FULL METAL JACKET™ Details","29.90 USD","White"
"1575162848-6546","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","CAPTAIN AMERICA © MARVEL T-SHIRT","https://www.zara.com/us/en/captain-america-%C2%A9-marvel-t-shirt-p04644306.html","CAPTAIN AMERICA © MARVEL T-SHIRT Details","25.90 USD","Black"
"1575162894-6566","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TEXT T-SHIRT","https://www.zara.com/us/en/text-t-shirt-p09362302.html","TEXT T-SHIRT Details","17.90 USD","Black"
"1575162706-6487","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","POCKET T-SHIRT","https://www.zara.com/us/en/pocket-t-shirt-p01165301.html","POCKET T-SHIRT Details","25.90 USD","White"
"1575162801-6527","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STUDDED PRINT T-SHIRT","https://www.zara.com/us/en/studded-print-t-shirt-p00722309.html","STUDDED PRINT T-SHIRT Details","29.90 USD","Black"
"1575162660-6467","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","FLORAL T-SHIRT","https://www.zara.com/us/en/floral-t-shirt-p05372311.html","FLORAL T-SHIRT Details","29.90 USD","Anthracite Gray"
"1575162819-6532","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","TECHNICAL T-SHIRT","https://www.zara.com/us/en/technical-t-shirt-p00761302.html","TECHNICAL T-SHIRT Details","25.90 USD","White"
"1575163000-6615","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE SHIRT","https://www.zara.com/us/en/essence-shirt-p01887352.html","ESSENCE SHIRT Details","29.90 USD","Light blue"
"1575162694-6482","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PIQUÉ SHIRT WITH BAND","https://www.zara.com/us/en/piqu%C3%A9-shirt-with-band-p00679301.html","PIQUÉ SHIRT WITH BAND Details","25.90 USD","Navy blue"
"1575162817-6531","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SKULL PRINT T-SHIRT","https://www.zara.com/us/en/skull-print-t-shirt-p05644304.html","SKULL PRINT T-SHIRT Details","29.90 USD","Black"
"1575162981-6606","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","© MARVEL MARVEL LOGO T-SHIRT","https://www.zara.com/us/en/%C2%A9-marvel-marvel-logo-t-shirt-p00977402.html","© MARVEL MARVEL LOGO T-SHIRT Details","29.90 USD","Black"
"1575162861-6552","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SKULL PRINT T-SHIRT","https://www.zara.com/us/en/skull-print-t-shirt-p00977316.html","SKULL PRINT T-SHIRT Details","29.90 USD","Black"
"1575162645-6460","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE TIE DYE T-SHIRT","https://www.zara.com/us/en/essence-tie-dye-t-shirt-p00495302.html","ESSENCE TIE DYE T-SHIRT Details","29.90 USD","taupe brown"
"1575162585-6433","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","T-SHIRT WITH CONTRASTING PIPING","https://www.zara.com/us/en/t-shirt-with-contrasting-piping-p04161300.html","T-SHIRT WITH CONTRASTING PIPING Details","29.90 USD","Ecru / Black"
