"COLLECTION_NAME","COUPLE_ID","COUPLE_SEQUENCE","RELATED","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","INCTOT","INCWAGE"
"ms_children_2018",5501,"c2",101,2,62,1,100,0,0,28,2800,24460,0
"ms_children_2018",67,"c1",201,2,54,6,600,0,0,515,51500,10200,10200
"ms_children_2018",67,"c2",101,1,44,6,600,0,0,515,51500,34000,21100
"ms_children_2018",5939,"c1",201,2,50,1,100,0,0,47,4700,4200,4200
"ms_children_2018",5939,"c2",101,1,52,1,100,0,0,47,4700,312500,0
"ms_children_2018",5939,"ch1",301,1,16,1,100,0,0,47,4700,0,0
"ms_children_2018",5585,"c1",201,1,23,1,100,0,0,28,2800,53000,53000
"ms_children_2018",5585,"c2",101,2,22,1,100,0,0,28,2800,60000,60000
"ms_children_2018",441,"c1",201,2,32,2,200,0,0,300,30015,0,0
"ms_children_2018",441,"c2",101,1,39,7,700,1,100,200,20000,0,0
"ms_children_2018",6002,"c1",201,1,52,1,100,4,498,15,1500,32000,32000
